Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Maize,Red,Kharif,East,111,34,30,5.61,166.8,37.3,52.1,23.02,Low,0
Millets,Sandy,Zaid,South,165,83,98,6.1,281.1,27.6,68.1,23.76,Moderate,1
Rice,Clay,Zaid,South,223,107,226,7.51,426.7,20.3,76,44.56,High,1
Cotton,Red,Kharif,West,52,48,85,5.13,93.8,30.6,47.9,21.04,Low,0
Wheat,Sandy,Rabi,Central,195,159,294,6.79,294.8,20.5,69.7,31.91,High,1
Rice,Red,Kharif,West,131,98,138,7.05,185.6,25.9,73.9,22.64,Moderate,1
Rice,Loamy,Kharif,West,96,34,33,5.46,162,38,43.2,15.97,Low,0
Wheat,Red,Zaid,North,118,33,80,5.91,115.8,36.9,53.1,15.78,Low,0
Sugarcane,Black,Kharif,West,211,140,291,7.7,439.3,22.6,72.5,37.96,High,1
Sugarcane,Loamy,Rabi,East,40,50,17,5.75,155.5,35.5,35,21.54,Low,0
Cotton,Loamy,Kharif,North,174,156,270,8.17,305.6,19.1,83.5,43.29,High,1
Millets,Sandy,Rabi,South,67,31,68,5.57,167.8,33.5,27.3,26.36,Low,0
Millets,Clay,Kharif,South,250,155,178,7.08,399.8,27.7,69.8,39.55,High,1
Millets,Black,Zaid,North,66,15,89,6.2,140,35.1,35.5,21.41,Low,0
Cotton,Red,Kharif,South,171,95,142,6.97,244.6,23.9,43.9,24.08,Moderate,1
Millets,Clay,Zaid,East,194,144,213,7.64,347.2,19.4,62.4,32.06,High,1
Millets,Loamy,Zaid,Central,283,110,236,7.39,357.6,19.9,78.7,40.51,High,1
Cotton,Black,Zaid,West,103,47,25,5.83,79.2,31,27.1,23.15,Low,0
Rice,Black,Zaid,South,168,81,110,6.81,301.7,29.3,54.2,28.41,Moderate,1
Maize,Sandy,Zaid,South,157,116,96,6.92,270.6,29.3,40.2,33.24,Moderate,1
Sugarcane,Sandy,Rabi,South,150,79,75,6.78,192,23.2,56.1,24.83,Moderate,1
Rice,Sandy,Rabi,East,252,106,165,7.06,323.5,27.6,61,44.44,High,1
Rice,Loamy,Rabi,South,169,153,275,7.21,287.1,19.2,77.5,40.63,High,1
Rice,Clay,Kharif,West,145,104,115,6.58,211.9,22.1,48,28.89,Moderate,1
Maize,Black,Zaid,Central,219,138,284,6.62,285.1,24.4,63.3,32.39,High,1
Sugarcane,Red,Rabi,East,91,44,68,5.61,94.2,33.1,40.9,18.76,Low,0
Millets,Sandy,Kharif,North,58,40,63,5.78,70.6,30.9,37.8,15.95,Low,0
Wheat,Loamy,Zaid,Central,155,76,113,6.53,247,31.7,52.9,25.74,Moderate,1
Maize,Black,Rabi,North,96,100,156,7.21,180.1,22.5,45.5,32.74,Moderate,1
Sugarcane,Red,Kharif,West,144,68,97,6.62,218.9,31.1,59.5,27.15,Moderate,1
Cotton,Black,Rabi,East,101,65,67,5.27,78.9,31.4,45.4,22.3,Low,0
Rice,Clay,Rabi,Central,183,143,280,7.14,336.1,20.1,70.2,41.19,High,1
Cotton,Black,Zaid,Central,243,101,240,8.15,280,22.1,85.8,44.43,High,1
Cotton,Loamy,Rabi,South,220,115,224,6.92,286.5,18.9,60.8,32.86,High,1
Cotton,Black,Rabi,South,205,142,241,6.7,356.6,24.9,83.4,43.3,High,1
Maize,Sandy,Zaid,West,204,116,168,6.78,361.3,27.3,79.6,41.49,High,1
Millets,Sandy,Zaid,West,46,47,57,5.91,136.9,30.5,39,22.24,Low,0
Sugarcane,Loamy,Zaid,East,249,154,285,7.58,283.2,23.3,79.2,32.39,High,1
Sugarcane,Red,Kharif,West,175,109,138,5.84,266.6,24.5,57.9,22.3,Moderate,1
Sugarcane,Loamy,Rabi,North,280,119,276,7.09,300.2,18.5,87.6,40.23,High,1
Maize,Clay,Zaid,East,153,85,126,6.81,192.9,28.2,56.1,34.29,Moderate,1
Maize,Black,Rabi,West,105,51,128,6.15,233.4,26.8,65.8,29.04,Moderate,1
Cotton,Sandy,Kharif,North,92,116,86,6.93,215.2,27.9,65.9,28.81,Moderate,1
Sugarcane,Clay,Zaid,East,288,156,294,7.4,315.6,26.2,73.1,38.81,High,1
Millets,Clay,Zaid,Central,99,109,159,6.63,185.4,26.6,41,32.29,Moderate,1
Cotton,Sandy,Zaid,West,198,116,199,7.72,413.8,22.6,78.1,35.68,High,1
Maize,Clay,Rabi,East,188,80,126,7.27,272,30.9,68.3,25.44,Moderate,1
Sugarcane,Clay,Zaid,West,143,97,143,7.11,302.7,25.2,58.6,34.09,Moderate,1
Cotton,Clay,Zaid,Central,257,169,152,6.7,448.3,22.4,62.3,38.84,High,1
Millets,Red,Kharif,South,137,89,175,7.21,271.3,22.5,57.2,34.87,Moderate,1
Millets,Sandy,Kharif,North,192,159,180,7.69,342.7,21.6,75.3,32.36,High,1
Sugarcane,Red,Rabi,East,137,84,95,6.46,272.4,26.5,60.7,29.88,Moderate,1
Rice,Loamy,Zaid,North,113,64,85,5.53,156.8,35.4,53.1,18.88,Low,0
Maize,Red,Zaid,West,76,15,38,5.09,135.2,36.4,48.4,23.44,Low,0
Millets,Red,Kharif,East,230,119,219,6.66,422.9,22.4,82.2,44.73,High,1
Rice,Sandy,Zaid,South,168,130,284,6.56,336.5,18.1,79.6,33.24,High,1
Cotton,Red,Kharif,West,96,39,74,6.24,178.4,33.7,48.9,18.59,Low,0
Rice,Black,Zaid,West,43,15,68,5.69,198.1,32.1,46.5,25.15,Low,0
Cotton,Clay,Zaid,North,216,151,214,7.42,258.7,22.9,86.4,39.03,High,1
Rice,Clay,Kharif,Central,239,169,254,7.14,413,23.7,73.1,36.65,High,1
Sugarcane,Clay,Rabi,North,60,51,67,5.2,175.2,32.9,30.7,23.92,Low,0
Sugarcane,Loamy,Rabi,Central,70,39,24,5.09,88.7,37,44.9,18.89,Low,0
Wheat,Sandy,Zaid,North,61,61,57,5.65,171.6,35.3,34.2,20.58,Low,0
Sugarcane,Loamy,Zaid,West,70,59,61,6.18,151.3,33.3,52.9,21.22,Low,0
Rice,Clay,Kharif,East,165,165,280,6.93,353.8,27.7,63.2,42.59,High,1
Maize,Sandy,Zaid,Central,62,41,77,5.25,152.8,35.1,47.5,17.15,Low,0
Millets,Red,Zaid,Central,155,95,98,6.55,288.2,28.9,47.5,23.67,Moderate,1
Millets,Sandy,Rabi,East,287,101,257,7.87,276.7,26.1,60.4,38.51,High,1
Millets,Black,Rabi,East,59,31,35,5.07,196.3,32.3,44.7,24.99,Low,0
Cotton,Clay,Kharif,West,157,69,165,5.93,187.5,22.6,43.5,33.19,Moderate,1
Wheat,Clay,Kharif,East,162,148,196,6.7,414.9,23.1,66.9,32.31,High,1
Rice,Red,Rabi,North,234,127,166,8.18,341.4,23.9,79.4,31.82,High,1
Cotton,Red,Kharif,Central,150,77,89,7.46,221.7,30.9,60.6,28.97,Moderate,1
Cotton,Sandy,Kharif,West,184,93,127,5.97,181.9,23.5,55.3,32.63,Moderate,1
Maize,Loamy,Zaid,North,182,152,288,7.88,269.2,25.2,83.4,32.67,High,1
Cotton,Clay,Kharif,South,97,52,66,5.37,195,34.3,41.8,24.16,Low,0
Cotton,Sandy,Rabi,North,118,76,77,6.87,286.9,25.4,69.7,33.97,Moderate,1
Wheat,Red,Rabi,Central,158,88,170,6.78,251.7,29,57.4,26.4,Moderate,1
Wheat,Clay,Zaid,Central,70,26,76,6.07,101.6,37.3,31.1,19.87,Low,0
Millets,Clay,Kharif,West,76,21,75,5.3,151.4,30.9,51.3,20.7,Low,0
Maize,Black,Kharif,South,190,130,188,7.3,258.4,19.5,82.6,39.53,High,1
Millets,Sandy,Zaid,Central,231,128,282,8.08,381.9,22.3,64.3,40.43,High,1
Millets,Loamy,Rabi,East,79,15,86,5.57,92.6,36.5,45.4,23.63,Low,0
Sugarcane,Sandy,Kharif,West,224,136,173,7.02,309.3,26.6,84,32.29,High,1
Cotton,Red,Zaid,South,110,36,73,5.64,195.3,34,40.8,17.49,Low,0
Millets,Clay,Rabi,East,72,36,69,5.95,95.2,31.8,29.3,23.41,Low,0
Maize,Loamy,Rabi,South,164,113,73,7.29,253.9,23.3,66.5,32.42,Moderate,1
Maize,Red,Rabi,North,193,165,229,7.27,294.9,25.9,68.5,35.17,High,1
Millets,Clay,Rabi,North,146,65,119,6.59,168.8,26,40.1,31.98,Moderate,1
Cotton,Loamy,Rabi,West,192,135,218,6.87,436.8,23.5,78.6,44.72,High,1
Maize,Loamy,Rabi,North,166,163,210,6.92,427.8,21,84,38.2,High,1
Cotton,Sandy,Rabi,North,110,53,121,6.62,207.5,25.3,44.8,31.06,Moderate,1
Sugarcane,Red,Kharif,South,65,35,40,5.48,88.6,33.7,27.4,26.41,Low,0
Cotton,Loamy,Zaid,South,116,33,87,5.22,188.8,37.4,47,19.92,Low,0
Sugarcane,Red,Kharif,North,64,26,68,5.91,141.9,34.9,54.2,20.49,Low,0
Rice,Red,Kharif,South,130,112,111,6.34,246.9,22.5,69,22.44,Moderate,1
Cotton,Black,Kharif,North,115,51,169,6.18,223.4,26.8,45.7,30,Moderate,1
Wheat,Red,Zaid,North,107,67,158,5.87,253.2,24,41.5,32.18,Moderate,1
Sugarcane,Black,Rabi,South,208,161,266,6.66,440.2,18.4,89.9,39.45,High,1
Sugarcane,Black,Kharif,Central,181,84,178,6.66,270.6,22.8,55.8,24.58,Moderate,1
Wheat,Clay,Kharif,West,73,64,72,5.17,131.2,33.6,40.1,24.61,Low,0
Cotton,Sandy,Rabi,South,238,133,233,7.44,255.4,22.8,83.2,43.01,High,1
Wheat,Sandy,Zaid,Central,214,158,166,7.81,385.6,21.5,63,31.74,High,1
Rice,Black,Rabi,South,92,92,115,6.18,255.1,31.8,54.2,28.09,Moderate,1
Rice,Sandy,Rabi,East,139,115,89,6.21,292.1,31.9,74.3,30.69,Moderate,1
Rice,Clay,Kharif,South,74,37,41,6.09,194.3,36.4,34,24.87,Low,0
Cotton,Loamy,Rabi,West,175,94,83,6.18,293.4,25.6,66,29.6,Moderate,1
Sugarcane,Black,Kharif,West,224,121,289,6.79,313.1,27.7,69.8,41.74,High,1
Cotton,Loamy,Kharif,West,93,107,82,6.93,308.7,23,40.6,30.81,Moderate,1
Millets,Clay,Rabi,Central,78,43,26,5.26,92.4,33.2,30.9,19.23,Low,0
Millets,Red,Kharif,Central,189,50,170,6.85,197.2,28.7,53.7,29.61,Moderate,1
Millets,Sandy,Rabi,Central,41,51,38,6.16,161.3,33.1,52,23.93,Low,0
Maize,Clay,Rabi,West,118,66,42,6.01,147.3,32.1,50,20.51,Low,0
Wheat,Sandy,Kharif,West,132,113,75,6.41,240.5,27.5,66.5,22.18,Moderate,1
Wheat,Loamy,Zaid,South,195,74,129,5.96,224.7,23.6,51.4,27.06,Moderate,1
Maize,Clay,Zaid,East,149,64,179,5.93,190.4,22.2,66.3,23.53,Moderate,1
Millets,Black,Zaid,South,89,58,18,6.23,78,34.8,40.9,16.35,Low,0
Millets,Red,Kharif,Central,283,161,210,7.46,414.1,25.7,75.9,42.44,High,1
Cotton,Sandy,Rabi,Central,137,64,72,7.06,159.3,25.2,40.6,23.29,Moderate,1
Wheat,Black,Zaid,West,172,79,173,6.41,306.8,28.6,40.4,32.38,Moderate,1
Cotton,Loamy,Zaid,East,102,35,41,5.16,98.3,36,44.6,26.14,Low,0
Maize,Red,Rabi,South,161,64,90,6.95,225.1,25.6,49.6,27.55,Moderate,1
Sugarcane,Sandy,Kharif,West,59,43,80,5.28,120.4,35.8,45.8,22.62,Low,0
Maize,Clay,Rabi,Central,147,52,157,5.98,274.8,28.3,48.4,34.62,Moderate,1
Rice,Loamy,Rabi,North,295,123,177,7.05,257,26.5,83.9,41.27,High,1
Maize,Clay,Kharif,North,124,78,107,7.4,307.2,24.2,74.8,25.76,Moderate,1
Sugarcane,Sandy,Zaid,Central,137,106,125,7.35,179.6,30.5,50.9,23.34,Moderate,1
Rice,Black,Rabi,West,181,159,212,7.79,394.7,25,65.9,35.48,High,1
Millets,Sandy,Kharif,South,286,165,218,7.02,258.4,22.2,70,33.97,High,1
Rice,Red,Rabi,Central,175,61,159,6.09,239.6,22.5,44.4,27.02,Moderate,1
Wheat,Red,Kharif,North,251,140,201,7.28,397.3,19.3,83.3,34.93,High,1
Sugarcane,Red,Rabi,North,46,37,74,5.47,123.4,32.5,35.3,22.49,Low,0
Wheat,Clay,Zaid,Central,102,67,44,5.68,75.6,37.8,44.6,25.93,Low,0
Maize,Sandy,Kharif,Central,202,159,193,7.58,296.4,26,68.6,38.7,High,1
Sugarcane,Clay,Zaid,Central,189,89,129,7.48,289.4,26.7,46.1,28.3,Moderate,1
Wheat,Clay,Rabi,North,116,61,155,6.8,182.8,29.8,65.1,30.2,Moderate,1
Sugarcane,Black,Rabi,North,83,38,28,5.85,175,33.6,29.5,16.51,Low,0
Cotton,Black,Rabi,North,175,72,81,5.83,305.2,31,50.5,33.13,Moderate,1
Cotton,Red,Rabi,North,106,51,40,5.96,134.3,30.7,36.6,15.23,Low,0
Millets,Black,Kharif,East,73,55,55,5.81,102.3,33.6,51.2,24.03,Low,0
Cotton,Loamy,Kharif,North,145,103,89,7.07,213.2,25.9,61.8,33.16,Moderate,1
Cotton,Red,Rabi,Central,242,162,228,7.97,263.8,20,79.8,43.16,High,1
Millets,Black,Kharif,South,207,169,225,7.42,283.5,25,61.8,30.84,High,1
Sugarcane,Loamy,Rabi,North,154,101,129,6.85,290.8,29.3,70.9,33.84,Moderate,1
Maize,Loamy,Zaid,East,190,87,154,7.4,245.2,26.2,65,34.5,Moderate,1
Wheat,Sandy,Rabi,Central,194,107,177,7.65,378.1,19.7,66.8,37.95,High,1
Cotton,Black,Rabi,West,121,81,129,6.3,262.7,22.6,64.9,29.4,Moderate,1
Sugarcane,Sandy,Zaid,East,138,112,93,6.44,170,30.5,74.6,31.33,Moderate,1
Rice,Black,Kharif,Central,283,108,214,7.92,371.9,18.6,66.3,41.67,High,1
Maize,Sandy,Zaid,West,178,72,109,6.81,260.2,26.4,59.9,28.72,Moderate,1
Rice,Red,Kharif,South,103,49,83,6.17,195.8,30.7,42.9,15.05,Low,0
Cotton,Sandy,Kharif,West,265,122,231,6.75,326.7,19.8,77.4,42.28,High,1
Maize,Red,Rabi,North,208,127,286,7.73,437.7,18,86.2,35.26,High,1
Cotton,Red,Kharif,West,126,67,171,6.82,286.7,28.5,54.7,25.19,Moderate,1
Millets,Sandy,Zaid,East,203,140,292,6.95,369.4,19.9,77.8,38.21,High,1
Maize,Red,Zaid,South,71,19,60,5.57,198.8,31,34.2,15.79,Low,0
Rice,Loamy,Rabi,East,76,68,68,5.83,188.8,35.7,26.6,20.41,Low,0
Maize,Loamy,Zaid,Central,150,74,170,7.21,242.1,31.7,57,29.28,Moderate,1
Rice,Clay,Kharif,East,273,131,224,7.2,381.7,22.7,62.3,35.05,High,1
Maize,Clay,Zaid,East,175,108,73,6.5,286.9,24.9,48.6,30.67,Moderate,1
Millets,Black,Zaid,South,73,37,60,5.53,71.8,36.6,54.1,16.61,Low,0
Maize,Red,Rabi,South,92,78,116,6.64,199.4,29.1,50,29.36,Moderate,1
Cotton,Loamy,Zaid,West,167,116,172,6.89,317.1,27.9,64.3,30.25,Moderate,1
Wheat,Clay,Kharif,South,96,91,98,6.44,240.9,27.9,48.3,31.35,Moderate,1
Millets,Black,Zaid,East,68,42,43,6.24,155.5,36.8,44.4,24.67,Low,0
Wheat,Sandy,Rabi,South,98,64,31,5.75,174,35,49.4,20.6,Low,0
Maize,Sandy,Kharif,Central,275,136,157,7.68,353.1,18.5,71.1,43.61,High,1
Rice,Sandy,Rabi,South,60,30,15,5.65,188.4,33,29.1,16.73,Low,0
Cotton,Sandy,Rabi,North,41,64,32,5.64,143.4,33.6,44.4,19.47,Low,0
Sugarcane,Sandy,Rabi,Central,120,107,130,6.34,236,26.1,48.1,26.21,Moderate,1
Wheat,Black,Kharif,North,120,80,178,6.27,189.1,24.8,58.3,26.48,Moderate,1
Cotton,Loamy,Zaid,Central,229,164,234,6.77,317.1,23.7,87.1,41.36,High,1
Rice,Clay,Kharif,South,187,113,89,7.49,256.7,23.1,60.9,22.41,Moderate,1
Wheat,Black,Zaid,East,138,113,89,5.92,253.4,24.9,62.6,28.83,Moderate,1
Wheat,Sandy,Rabi,West,243,109,196,7.77,310.3,18.7,79.7,30.63,High,1
Millets,Loamy,Zaid,Central,227,155,152,6.75,364.1,22.9,69.7,36.06,High,1
Millets,Sandy,Rabi,South,255,168,201,7.2,356.8,26.2,84.5,38.15,High,1
Cotton,Black,Kharif,North,79,54,75,5.34,154.7,31.1,48.6,24.35,Low,0
Maize,Clay,Zaid,South,115,40,78,5.04,131.5,31.2,38.3,21.05,Low,0
Wheat,Sandy,Zaid,West,100,20,36,5.43,76.8,37.9,53.9,17.76,Low,0
Rice,Clay,Kharif,North,68,48,24,5.21,158.4,32.4,51.5,21.83,Low,0
Rice,Clay,Kharif,North,277,142,234,7.22,280.1,20.7,67.4,30.23,High,1
Millets,Clay,Rabi,North,80,40,46,5.88,193.9,35.9,50.2,16.77,Low,0
Sugarcane,Sandy,Zaid,North,165,84,178,6.9,319.7,30.8,49,33.95,Moderate,1
Rice,Black,Kharif,North,118,106,112,7.38,276.9,23.1,74.3,28.72,Moderate,1
Sugarcane,Loamy,Kharif,East,101,62,103,7.06,230.4,25.3,63.3,30.52,Moderate,1
Cotton,Loamy,Kharif,North,59,46,79,5.01,110.4,35.4,52.1,21.2,Low,0
Maize,Clay,Rabi,Central,106,59,102,7.13,254.4,26.3,73.3,28.71,Moderate,1
Maize,Black,Rabi,West,134,95,127,6.82,278.9,29.3,56.3,31.36,Moderate,1
Millets,Black,Zaid,North,173,94,89,7.04,173.5,24.3,44.4,33.15,Moderate,1
Maize,Black,Zaid,North,167,138,169,7.31,311.9,21.4,83.2,36.11,High,1
Cotton,Loamy,Kharif,West,188,104,119,6.73,227,26.4,41.8,26.09,Moderate,1
Sugarcane,Clay,Zaid,East,138,114,164,7.17,285.5,30.9,74.1,26.22,Moderate,1
Wheat,Sandy,Rabi,West,295,123,183,6.59,342.9,22.2,77.7,44.23,High,1
Sugarcane,Red,Kharif,North,220,132,284,6.82,314.2,27,69,34.11,High,1
Maize,Loamy,Rabi,East,94,36,38,5.27,77.7,34.5,42.5,23.36,Low,0
Cotton,Red,Rabi,North,292,156,286,7.2,437.8,24.1,87,40.72,High,1
Maize,Black,Rabi,North,289,117,205,6.69,274.6,19.4,62.1,41.53,High,1
Wheat,Clay,Kharif,Central,104,27,36,5.74,84.2,31.5,46.1,25.93,Low,0
Maize,Clay,Rabi,East,287,144,264,6.54,289.7,22.2,87.3,44.3,High,1
Cotton,Loamy,Kharif,West,234,110,204,7.53,272.5,24.2,62.6,40.56,High,1
Wheat,Sandy,Rabi,Central,49,65,83,6.15,133.9,36.1,44.4,22.57,Low,0
Sugarcane,Clay,Zaid,West,297,159,237,7.06,343,21.9,71.8,44.45,High,1
Millets,Clay,Rabi,North,158,92,89,7.11,294.2,24.3,55,28.23,Moderate,1
Millets,Red,Kharif,West,218,104,272,7.3,434.3,24.1,70.6,37.4,High,1
Wheat,Black,Kharif,West,119,23,31,6.13,167.4,37.6,44.6,26.52,Low,0
Wheat,Red,Kharif,Central,58,18,82,5.97,143.7,35.8,46.9,18.6,Low,0
Wheat,Sandy,Rabi,North,167,98,96,7.23,221.7,30.6,46.3,24.77,Moderate,1
Millets,Black,Kharif,North,68,60,30,5,182.2,37.4,41.4,23.78,Low,0
Sugarcane,Clay,Kharif,West,78,59,19,5.47,71.6,34,25.6,20.62,Low,0
Cotton,Black,Kharif,East,126,91,89,6.58,298.4,30.4,58,29.14,Moderate,1
Millets,Loamy,Zaid,East,181,106,71,6.03,194.5,22.9,65.6,29.08,Moderate,1
Maize,Clay,Kharif,West,138,87,79,6.47,293.2,22.2,58.2,26.62,Moderate,1
Rice,Clay,Rabi,West,104,29,36,5.39,85.8,32.8,34.5,18.37,Low,0
Rice,Black,Zaid,Central,183,160,251,7.02,404.5,21.9,66.1,34.5,High,1
Rice,Loamy,Kharif,Central,163,160,293,6.5,413.4,20.3,63.8,40.97,High,1
Rice,Red,Kharif,West,185,99,117,6.38,192.5,30,60.7,32.35,Moderate,1
Maize,Black,Rabi,East,95,56,148,5.81,285.2,30.5,60.1,34.16,Moderate,1
Cotton,Black,Zaid,North,201,138,219,7.19,332.7,20.7,72,41.08,High,1
Maize,Sandy,Zaid,East,46,60,88,5.11,108.6,32.6,47.5,17.5,Low,0
Rice,Black,Rabi,West,178,98,123,6.08,164.7,27.8,67.9,22.58,Moderate,1
Rice,Red,Rabi,South,135,60,91,6.29,184.4,28,58.5,25.83,Moderate,1
Rice,Sandy,Rabi,Central,258,105,162,7.83,273.1,24.8,87.3,39.62,High,1
Sugarcane,Loamy,Kharif,Central,199,99,133,6.5,267.9,26.4,62,32.93,Moderate,1
Rice,Black,Rabi,Central,255,158,240,7.54,334.4,21.1,66.3,32.32,High,1
Wheat,Sandy,Kharif,West,190,96,96,7.23,236.2,23.8,73,30.72,Moderate,1
Maize,Sandy,Kharif,Central,63,17,43,5.26,161.3,31.6,28.9,20.12,Low,0
Wheat,Loamy,Rabi,West,271,119,258,6.62,444.8,22.8,77.2,40.1,High,1
Sugarcane,Black,Rabi,Central,213,137,159,6.65,310.3,23.7,85,37.71,High,1
Wheat,Red,Zaid,Central,169,95,76,6.59,175.3,22.1,50.2,31.76,Moderate,1
Sugarcane,Red,Zaid,North,270,137,182,7.23,350.6,18.1,65.7,43.2,High,1
Maize,Black,Rabi,West,289,124,219,6.92,369.3,22.7,69.1,33.85,High,1
Rice,Black,Kharif,West,91,94,96,7.47,286.8,25.1,49.5,28.79,Moderate,1
Maize,Sandy,Rabi,South,291,150,219,7.24,296.3,25.9,73.1,42.46,High,1
Wheat,Loamy,Zaid,South,106,66,16,5.46,114.6,30.5,49.4,19.15,Low,0
Cotton,Black,Rabi,North,44,41,87,6.04,111.1,37.1,47.8,19.41,Low,0
Cotton,Clay,Kharif,South,252,148,267,7.81,327.3,22.6,81.4,32.35,High,1
Wheat,Black,Kharif,South,178,156,158,8.14,308.5,26.7,65.3,43.58,High,1
Wheat,Sandy,Rabi,South,195,113,198,7.93,315.4,25.9,66.6,37.41,High,1
Maize,Loamy,Zaid,Central,221,165,248,7.65,443.8,26.1,79.4,34.09,High,1
Cotton,Black,Rabi,Central,111,91,108,6.37,310.2,31,45,22.77,Moderate,1
Rice,Sandy,Zaid,West,161,57,72,6.15,174.9,24.9,69.8,32.4,Moderate,1
Millets,Black,Zaid,North,226,149,262,7.54,389.9,26.7,88.3,33,High,1
Wheat,Loamy,Zaid,East,102,64,58,5.6,105.6,36.7,46.8,16.75,Low,0
Wheat,Black,Kharif,South,89,52,54,5.52,92,30,43.8,23.64,Low,0
Rice,Clay,Kharif,South,124,74,152,6.28,163.1,31.6,44.5,32.82,Moderate,1
Millets,Clay,Zaid,West,269,119,256,7.52,390.1,26.4,83.9,41.9,High,1
Maize,Clay,Zaid,Central,186,67,163,6.31,319.7,28.5,69.3,23.43,Moderate,1
Rice,Red,Zaid,South,138,109,98,6.65,166,24.2,63,30.22,Moderate,1
Rice,Loamy,Rabi,South,46,64,87,5.73,108.9,37.3,42.3,21.04,Low,0
Millets,Black,Zaid,Central,171,130,242,7.04,299,22.1,87.8,35.22,High,1
Maize,Black,Rabi,Central,191,76,166,7.28,299.9,30.1,73.8,29.59,Moderate,1
Cotton,Black,Zaid,North,124,58,166,5.94,292.4,24,68.4,32.13,Moderate,1
Maize,Loamy,Kharif,South,103,104,83,7.19,253.7,26.4,47.3,31.67,Moderate,1
Cotton,Black,Rabi,West,115,118,83,7.07,209,25.8,69,30.3,Moderate,1
Wheat,Black,Zaid,West,174,80,154,6.54,310,31.2,40.7,23.5,Moderate,1
Wheat,Red,Kharif,East,138,67,146,6.5,261.7,26.2,72.4,30.67,Moderate,1
Sugarcane,Loamy,Kharif,East,43,27,25,5.62,161.5,36.7,26,21.93,Low,0
Sugarcane,Sandy,Rabi,North,137,116,91,7.27,269.1,26.6,57.4,23.19,Moderate,1
Maize,Black,Zaid,Central,76,35,37,6.3,187.5,31.5,25.5,25.8,Low,0
Maize,Loamy,Rabi,South,58,17,81,6.15,164.1,38,30.2,16.96,Low,0
Cotton,Sandy,Rabi,North,264,117,271,7.91,403.2,25.5,64.5,30.24,High,1
Millets,Loamy,Zaid,North,53,67,48,5.32,127,35.6,44.3,25.8,Low,0
Rice,Loamy,Rabi,West,239,165,159,7.58,301.4,22.8,81.1,44.3,High,1
Wheat,Loamy,Kharif,North,162,126,228,7.55,313.3,21.3,73.8,30.92,High,1
Rice,Black,Rabi,West,70,16,53,5.64,141.2,31.7,28.5,16.33,Low,0
Rice,Black,Zaid,East,56,59,21,5.78,180,31.7,41.5,24.32,Low,0
Wheat,Red,Zaid,Central,210,145,226,6.78,374.8,21,82.9,34.28,High,1
Sugarcane,Clay,Zaid,West,97,19,53,5.71,186.5,30.4,39.1,16.19,Low,0
Sugarcane,Loamy,Kharif,Central,89,36,84,5.54,113.9,35.5,30.5,24.99,Low,0
Cotton,Loamy,Rabi,South,144,76,108,7.21,241.4,25,55.7,30.99,Moderate,1
Wheat,Clay,Rabi,East,298,135,153,7.97,376,24.3,82.4,35.04,High,1
Rice,Clay,Rabi,North,194,73,70,6.39,268,22.9,68.9,23.28,Moderate,1
Rice,Red,Kharif,North,178,158,213,7.98,263.7,26.4,70.7,43.96,High,1
Sugarcane,Loamy,Zaid,West,232,136,215,7.31,294.6,21.1,77.3,38.82,High,1
Rice,Black,Zaid,North,251,159,261,7.34,439.5,23.8,82.9,37.52,High,1
Wheat,Red,Rabi,North,55,61,32,6.19,74.1,32.1,47.7,19.6,Low,0
Wheat,Loamy,Zaid,Central,189,102,116,6.38,266,24.7,66.8,24.57,Moderate,1
Millets,Loamy,Kharif,West,79,16,89,5.05,192.7,32,42.7,17.21,Low,0
Cotton,Sandy,Zaid,East,171,111,120,5.99,263.4,30,50.4,28.78,Moderate,1
Rice,Black,Kharif,South,105,67,158,7.01,308.8,26.9,65.6,22.19,Moderate,1
Maize,Sandy,Zaid,West,93,40,29,5.69,185.6,32.2,29.9,23.62,Low,0
Maize,Black,Zaid,West,152,84,172,6.26,158.5,24.1,57.7,27.75,Moderate,1
Cotton,Loamy,Kharif,West,121,60,133,5.88,279.1,27.3,40.1,29.22,Moderate,1
Millets,Black,Rabi,South,247,109,274,7.04,258,20.8,88.6,39.57,High,1
Wheat,Red,Zaid,South,55,51,62,5.2,82.4,35.4,35.6,22.57,Low,0
Millets,Black,Rabi,East,197,83,111,5.84,247.3,32,70.7,23.44,Moderate,1
Wheat,Sandy,Zaid,North,173,118,84,5.88,195.6,29.9,57.5,26.38,Moderate,1
Rice,Sandy,Kharif,East,127,112,160,5.87,255,28.4,52.9,31.38,Moderate,1
Maize,Sandy,Rabi,South,107,22,25,5.01,100.7,36.2,25.4,19.42,Low,0
Rice,Loamy,Rabi,East,61,50,36,5.09,169.4,36.9,39.9,23.51,Low,0
Rice,Clay,Rabi,Central,125,98,78,7.01,195.9,31.3,50.3,28.74,Moderate,1
Sugarcane,Red,Zaid,West,157,111,124,7.25,220.9,30.8,55.8,25.85,Moderate,1
Cotton,Sandy,Kharif,North,287,164,202,7.09,415.4,26.4,79,32.59,High,1
Maize,Sandy,Rabi,East,145,102,90,6.46,298.4,22.7,54.6,23.5,Moderate,1
Sugarcane,Red,Rabi,West,199,113,203,6.6,334.9,26.7,78.1,39.25,High,1
Rice,Red,Kharif,Central,115,62,87,5.27,124.2,35.8,49.1,25.46,Low,0
Millets,Red,Zaid,West,122,93,76,6.62,167.6,24.4,64.7,24.71,Moderate,1
